                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.11401,                0.39382,                0.95913,                0.98636,                    0.6,                0.59811,                 0.5383,                0.29762,                 2.4618,                0.34247,             0.00060847,             0.00060847,             0.00060847
                     60,                0.10628,                0.39195,                0.94832,                0.97695,                    0.4,                0.39813,                0.35832,                0.25933,                 1.2065,                0.32251,             0.00059432,             0.00059432,             0.00059432
                     61,                0.11024,                0.39744,                0.94039,                0.98026,                    0.4,                 0.3981,                0.37799,                0.27157,                0.85248,                0.32947,             0.00058017,             0.00058017,             0.00058017
                     62,                0.11286,                0.39243,                 0.9271,                0.98199,                    0.4,                0.39811,                0.39811,                0.27623,                0.71154,                0.33247,             0.00056603,             0.00056603,             0.00056603
                     63,                0.10641,                0.33619,                0.93705,                0.98197,                    0.4,                0.39807,                0.36821,                0.27447,                0.65056,                0.33233,             0.00055188,             0.00055188,             0.00055188
                     64,                0.12213,                0.34792,                0.94254,                0.98157,                    0.4,                0.39807,                0.39807,                0.28205,                0.72668,                0.33354,             0.00053773,             0.00053773,             0.00053773
                     65,                0.10829,                0.34054,                0.93636,                0.97571,                    0.4,                0.39777,                  0.358,                0.24891,                0.95725,                0.31249,             0.00052359,             0.00052359,             0.00052359
                     66,                0.10743,                0.35197,                0.92393,                0.95363,                    0.4,                0.39786,                0.35808,                0.25021,                 1.5619,                0.31678,             0.00050944,             0.00050944,             0.00050944
                     67,                0.10661,                0.33127,                0.92947,                0.94127,                    0.4,                0.39849,                0.36862,                0.26713,                 1.7647,                0.32935,             0.00049529,             0.00049529,             0.00049529
                     68,                0.11249,                0.36624,                0.94534,                0.96932,                    0.4,                0.39918,                0.35926,                0.33297,                 1.4523,                 0.3673,             0.00048114,             0.00048114,             0.00048114
                     69,                0.10488,                0.32625,                0.94008,                0.98009,                    0.4,                 0.3998,                0.35982,                0.34839,                 1.1977,                0.37024,               0.000467,               0.000467,               0.000467
                     70,                0.10806,                0.35749,                0.92331,                0.98133,                    0.4,                0.40087,                0.37092,                 0.3149,                 1.1908,                0.34776,             0.00045285,             0.00045285,             0.00045285
                     71,                0.09899,                0.32189,                0.93102,                0.96657,                    0.2,                0.20164,                0.20164,                0.24525,                 1.1582,                 0.3124,              0.0004387,              0.0004387,              0.0004387
                     72,                0.09494,                 0.3106,                0.93913,                0.94471,                    0.2,                 0.2004,                 0.2004,                 0.2413,                 1.3669,                0.30043,             0.00042456,             0.00042456,             0.00042456
                     73,                0.10071,                0.30705,                0.93007,                0.94931,                    0.2,                0.20047,                0.20047,                0.26391,                 1.3782,                0.31324,             0.00041041,             0.00041041,             0.00041041
                     74,                0.10079,                0.29882,                0.92039,                0.97696,                    0.4,                0.40055,                0.38036,                0.29206,                 1.1828,                0.33101,             0.00039626,             0.00039626,             0.00039626
                     75,                0.10093,                0.32772,                0.92349,                0.97261,                    0.2,                 0.2085,                0.18765,                0.27634,                0.89136,                0.31273,             0.00038211,             0.00038211,             0.00038211
                     76,                 0.0943,                 0.3232,                0.92233,                0.97352,                    0.2,                 0.2112,                0.19008,                0.26656,                0.66346,                0.30758,             0.00036797,             0.00036797,             0.00036797
                     77,                0.09639,                0.30584,                0.92866,                0.97167,                    0.2,                0.20538,                0.18485,                0.28324,                0.74934,                0.32106,             0.00035382,             0.00035382,             0.00035382
                     78,                0.10049,                0.30515,                0.93724,                0.95729,                    0.2,                0.20264,                0.18238,                0.28942,                 1.2546,                0.32744,             0.00033967,             0.00033967,             0.00033967
                     79,                0.10298,                0.32481,                0.93054,                0.92538,                    0.2,                0.20164,                0.18148,                 0.2821,                  1.769,                0.32682,             0.00032553,             0.00032553,             0.00032553
                     80,                0.10431,                0.33687,                0.91659,                0.95235,                    0.2,                0.20114,                0.20114,                0.26393,                 1.7745,                0.31607,             0.00031138,             0.00031138,             0.00031138
                     81,                0.09175,                0.28074,                0.92884,                0.96035,                    0.2,                0.20096,                0.18086,                0.27424,                 1.7211,                0.31879,             0.00029723,             0.00029723,             0.00029723
                     82,                0.09805,                0.27895,                0.93381,                0.96533,                    0.2,                0.20114,                0.18102,                0.28995,                 1.4243,                0.32827,             0.00028308,             0.00028308,             0.00028308
                     83,                 0.0951,                0.31498,                 0.9348,                0.96381,                    0.2,                0.20055,                0.18049,                0.28863,                 1.4366,                0.33042,             0.00026894,             0.00026894,             0.00026894
                     84,                0.09307,                0.28452,                 0.9216,                0.96822,                    0.4,                0.40035,                0.36032,                0.27638,                  1.473,                 0.3239,             0.00025479,             0.00025479,             0.00025479
                     85,                0.09049,                0.28191,                0.93053,                0.95439,                    0.2,                0.20114,                0.18102,                0.28552,                 1.4622,                0.32633,             0.00024064,             0.00024064,             0.00024064
                     86,                0.08813,                0.27423,                0.91849,                0.95582,                    0.2,                0.20143,                0.18129,                0.29383,                  1.678,                0.33218,              0.0002265,              0.0002265,              0.0002265
                     87,                0.09276,                 0.2724,                0.92471,                0.95651,                    0.2,                0.20294,                0.18265,                0.28858,                 1.7572,                0.33126,             0.00021235,             0.00021235,             0.00021235
                     88,                0.08996,                0.26978,                0.91606,                0.94998,                    0.2,                0.20595,                0.18535,                0.27186,                 1.7178,                0.32381,              0.0001982,              0.0001982,              0.0001982
                     89,                0.08423,                 0.2973,                0.92298,                0.93314,                    0.2,                0.20657,                0.18591,                0.27164,                  1.938,                0.32283,             0.00018406,             0.00018406,             0.00018406
                     90,                0.08518,                0.26064,                0.92698,                0.90573,                    0.2,                 0.2038,                0.18342,                0.27955,                 2.2262,                0.32621,             0.00016991,             0.00016991,             0.00016991
                     91,                0.09882,                0.89493,                0.92521,                0.85153,                    0.2,                0.20153,                0.18138,                0.29223,                 2.7298,                0.32694,             0.00015576,             0.00015576,             0.00015576
                     92,                0.09997,                0.54992,                0.95541,                0.01087,                    0.2,                 0.1994,                0.17946,                0.26974,                 4.0702,                0.29583,             0.00014161,             0.00014161,             0.00014161
                     93,                0.08309,                0.38221,                0.93965,                0.00943,                    0.2,                0.19882,                0.19882,                0.22869,                 4.4332,                0.26282,             0.00012747,             0.00012747,             0.00012747
                     94,                0.09055,                0.37951,                 0.9735,                0.00893,                    0.2,                0.10112,                0.10112,                0.20958,                 4.4427,                0.24616,             0.00011332,             0.00011332,             0.00011332
                     95,                0.08839,                0.34171,                0.95302,                   0.01,                    0.4,                0.26638,                 0.2497,                 0.2158,                  4.504,                0.24512,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.08806,                0.33149,                0.95594,                0.00855,                    0.2,                0.19846,                0.17862,                0.27083,                 4.5062,                0.27062,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.07132,                0.27078,                0.92895,                0.68027,                    0.2,                0.19838,                0.17854,                0.27601,                 4.0496,                 0.2724,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.06419,                 0.2496,                 0.9363,                0.78161,                    0.2,                0.19832,                0.15866,                0.27667,                 3.7318,                0.27375,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.06948,                0.25309,                0.94437,                 0.8606,                    0.2,                0.19838,                 0.1587,                0.28338,                 3.3821,                0.27708,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.06808,                0.24111,                0.93588,                 0.8975,                    0.2,                0.19835,                0.15868,                0.29624,                  3.201,                0.28426,             2.8437e-05,             2.8437e-05,             2.8437e-05
